symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
T1509,20150429,97.67,97.775,97.52,97.69,2235,16039.0,218295.48,97.7,97.71,T
T1512,20150429,98.09,98.09,98.09,98.09,1,84.0,98.09,98.09,98.285,T
T1603,20150429,,,,98.25,0,40.0,0.0,98.24,98.25,T
T1509,20150430,97.695,98.1,97.695,97.955,3925,17454.0,384356.645,98.025,97.7,T
T1512,20150430,98.055,98.385,97.94,98.325,29,88.0,2847.45,98.32,98.09,T
T1603,20150430,98.395,98.595,98.135,98.47,15,41.0,1475.07,98.505,98.24,T
T1509,20150504,97.91,97.91,97.54,97.6,2688,17952.0,262539.155,97.62,98.025,T
T1512,20150504,98.105,98.105,98.005,98.005,6,88.0,588.285,98.025,98.32,T
T1603,20150504,,,,98.47,0,41.0,0.0,98.1,98.505,T
T1509,20150505,97.51,97.675,97.485,97.505,3812,19543.0,371963.32,97.525,97.62,T
T1512,20150505,,,,98.005,0,88.0,0.0,97.93,98.025,T
T1603,20150505,98.095,98.095,98.095,98.095,1,41.0,98.095,98.095,98.1,T
T1509,20150506,97.42,97.47,97.065,97.155,5874,21544.0,571354.305,97.195,97.525,T
T1512,20150506,98.005,98.005,97.48,97.48,15,90.0,1466.34,97.54,97.93,T
T1603,20150506,97.955,97.955,97.825,97.825,2,42.0,195.78,97.89,98.095,T
T1509,20150507,97.145,97.37,97.095,97.2,3897,22735.0,378916.65,97.195,97.195,T
T1512,20150507,97.615,97.74,97.375,97.6,17,91.0,1659.32,97.6,97.54,T
T1603,20150507,97.995,97.995,97.995,97.995,1,43.0,97.995,97.995,97.89,T
T1509,20150508,97.3,97.615,97.29,97.45,3756,23303.0,366040.005,97.515,97.195,T
T1512,20150508,97.905,97.95,97.905,97.95,5,91.0,489.615,97.92,97.6,T
T1603,20150508,,,,97.995,0,43.0,0.0,98.315,97.995,T
T1509,20150511,97.41,97.5,96.5,97.32,4854,23226.0,471691.48,97.365,97.515,T
T1512,20150511,98.1,98.1,97.505,97.895,21,95.0,2053.8,97.82,97.92,T
T1603,20150511,98.1,98.1,98.1,98.1,1,44.0,98.1,98.1,98.315,T
T1509,20150512,97.31,97.46,96.88,96.99,3199,23315.0,310945.605,96.985,97.365,T
T1512,20150512,97.45,97.48,97.45,97.48,2,95.0,194.93,97.465,97.82,T
T1603,20150512,97.815,97.865,97.815,97.865,2,44.0,195.68,97.865,98.1,T
T1509,20150513,97.02,97.35,96.965,97.225,4272,24375.0,415117.625,97.275,96.985,T
T1512,20150513,97.6,97.7,97.6,97.7,6,95.0,585.87,97.7,97.465,T
T1603,20150513,97.83,98.18,97.83,98.175,7,43.0,686.885,98.175,97.865,T
T1509,20150514,97.42,97.53,97.005,97.1,3794,25138.0,369295.1,97.12,97.275,T
T1512,20150514,97.77,97.985,97.77,97.805,17,101.0,1664.405,97.82,97.7,T
T1603,20150514,,,,98.175,0,43.0,0.0,98.02,98.175,T
T1509,20150515,97.15,97.345,97.125,97.185,2400,25022.0,233293.475,97.16,97.12,T
T1512,20150515,97.7,97.71,97.645,97.71,10,106.0,976.97,97.705,97.82,T
T1603,20150515,,,,98.175,0,43.0,0.0,98.06,98.02,T
T1509,20150518,97.2,97.29,96.675,96.705,5051,25123.0,489649.55,96.845,97.16,T
T1512,20150518,97.725,97.725,97.23,97.32,17,110.0,1656.08,97.345,97.705,T
T1603,20150518,97.715,97.715,97.65,97.7,7,48.0,683.69,97.67,98.06,T
T1509,20150519,96.695,96.84,96.475,96.56,3680,25012.0,355597.975,96.555,96.845,T
T1512,20150519,97.185,97.42,97.1,97.145,113,163.0,10979.54,97.135,97.345,T
T1603,20150519,97.735,97.735,97.545,97.545,3,48.0,292.825,97.605,97.67,T
T1509,20150520,96.565,96.915,96.55,96.88,2667,25631.0,258142.22,96.85,96.555,T
T1512,20150520,97.2,97.43,97.2,97.345,39,164.0,3795.205,97.31,97.135,T
T1603,20150520,97.75,97.875,97.75,97.875,2,47.0,195.625,97.875,97.605,T
T1509,20150521,96.9,96.9,96.47,96.675,2358,25389.0,227962.33,96.69,96.85,T
T1512,20150521,97.3,97.35,97.125,97.21,206,311.0,20037.49,97.295,97.31,T
T1603,20150521,,,,97.875,0,47.0,0.0,97.715,97.875,T
T1509,20150522,96.67,96.81,96.67,96.74,1866,25892.0,180498.11,96.71,96.69,T
T1512,20150522,97.35,97.455,97.235,97.39,201,453.0,19570.74,97.345,97.295,T
T1603,20150522,,,,97.875,0,47.0,0.0,97.735,97.715,T
T1509,20150525,96.7,96.825,96.465,96.52,1849,26330.0,178643.355,96.505,96.71,T
T1512,20150525,97.2,97.355,97.05,97.1,37,462.0,3595.815,97.12,97.345,T
T1603,20150525,,,,97.875,0,47.0,0.0,97.53,97.735,T
T1509,20150526,96.505,96.505,95.21,95.66,5483,25666.0,525803.385,95.57,96.505,T
T1512,20150526,96.96,96.98,95.95,96.21,410,496.0,39549.635,96.32,97.12,T
T1603,20150526,96.92,97.165,96.915,97.165,4,47.0,387.92,96.98,97.53,T
T1509,20150527,95.67,95.965,95.58,95.8,3064,25739.0,293363.325,95.77,95.57,T
T1512,20150527,95.63,96.41,95.63,96.32,121,508.0,11648.06,96.26,96.32,T
T1603,20150527,,,,97.165,0,47.0,0.0,97.18,96.98,T
T1509,20150528,95.65,95.74,94.81,95.0,4455,25520.0,424700.46,95.085,95.77,T
T1512,20150528,96.09,96.26,95.58,95.775,178,550.0,17085.655,95.645,96.26,T
T1603,20150528,96.115,96.115,96.115,96.115,1,46.0,96.115,96.115,97.18,T
T1509,20150529,95.08,95.145,94.835,94.92,3040,24946.0,288654.325,94.945,95.085,T
T1512,20150529,95.65,95.65,95.45,95.5,75,557.0,7167.955,95.5,95.645,T
T1603,20150529,,,,96.115,0,46.0,0.0,95.975,96.115,T
T1509,20150601,94.935,94.96,93.9,94.215,6745,22577.0,636361.155,94.14,94.945,T
T1512,20150601,95.55,95.55,94.365,94.765,186,587.0,17720.675,94.695,95.5,T
T1603,20150601,94.415,95.555,94.415,95.555,14,50.0,1332.07,95.145,95.975,T
T1509,20150601,94.935,94.96,93.9,94.215,6745,22577.0,636361.155,94.14,94.945,T
T1512,20150601,95.55,95.55,94.365,94.765,186,587.0,17720.675,94.695,95.5,T
T1603,20150601,94.415,95.555,94.415,95.555,14,50.0,1332.07,95.145,95.975,T
T1509,20150602,94.58,95.1,94.415,94.99,5862,22162.0,555446.275,94.76,94.14,T
T1512,20150602,95.215,95.745,94.96,95.56,79,581.0,7531.505,95.28,94.695,T
T1603,20150602,95.555,95.555,95.385,95.385,2,48.0,190.94,95.47,95.145,T
T1509,20150603,94.88,95.4,94.655,95.06,4222,22179.0,400987.825,94.96,94.76,T
T1512,20150603,95.39,95.7,95.165,95.6,134,661.0,12805.815,95.59,95.28,T
T1603,20150603,95.85,95.9,95.85,95.9,8,46.0,766.925,95.9,95.47,T
T1509,20150604,95.07,95.265,94.555,94.91,3583,22014.0,340203.955,94.92,94.96,T
T1512,20150604,95.67,95.82,95.145,95.47,244,840.0,23339.86,95.405,95.59,T
T1603,20150604,95.91,95.91,95.91,95.91,2,46.0,191.82,95.91,95.9,T
T1509,20150605,94.98,95.37,94.97,95.3,3191,22584.0,303918.365,95.31,94.92,T
T1512,20150605,95.73,95.88,95.72,95.88,210,943.0,20113.415,95.83,95.405,T
T1603,20150605,96.4,96.4,95.785,95.785,2,45.0,192.185,96.09,95.91,T
T1509,20150608,95.205,95.62,95.19,95.56,2907,23195.0,277528.645,95.565,95.31,T
T1512,20150608,95.89,96.09,95.2,96.08,386,1024.0,37057.49,96.08,95.83,T
T1603,20150608,,,,95.785,0,45.0,0.0,96.345,96.09,T
T1509,20150609,95.54,95.68,95.38,95.475,2655,22881.0,253582.085,95.49,95.565,T
T1512,20150609,96.125,96.15,95.905,96.075,151,1075.0,14506.335,96.075,96.08,T
T1603,20150609,96.375,96.5,96.2,96.2,8,47.0,771.465,96.2,96.345,T
T1509,20150610,95.435,95.435,94.92,94.98,3430,22457.0,326298.76,95.065,95.49,T
T1512,20150610,95.87,95.935,95.49,95.535,144,1083.0,13774.885,95.59,96.075,T
T1603,20150610,96.18,96.18,96.18,96.18,1,47.0,96.18,96.18,96.2,T
T1509,20150611,94.98,95.055,94.775,94.83,2901,22492.0,275394.44,94.91,95.065,T
T1512,20150611,96.475,96.48,95.045,95.39,190,1179.0,18145.305,95.48,95.59,T
T1603,20150611,95.605,96.16,95.605,96.16,4,50.0,383.87,96.135,96.18,T
T1509,20150612,94.845,95.05,94.515,94.62,3902,21143.0,369547.92,94.635,94.91,T
T1512,20150612,95.415,95.64,95.125,95.16,277,1339.0,26408.265,95.21,95.48,T
T1603,20150612,95.605,95.605,95.585,95.585,2,48.0,191.19,95.595,96.135,T
T1509,20150615,94.55,94.62,94.2,94.205,2210,20498.0,208594.03,94.25,94.635,T
T1512,20150615,95.085,95.085,94.8,94.8,28,1352.0,2658.74,94.805,95.21,T
T1603,20150615,,,,95.585,0,48.0,0.0,95.21,95.595,T
T1509,20150616,94.295,95.135,94.26,95.13,5417,21356.0,513585.195,95.015,94.25,T
T1512,20150616,95.055,95.59,95.025,95.58,205,1358.0,19558.895,95.52,94.805,T
T1603,20150616,95.7,95.995,95.445,95.605,8,52.0,765.545,95.525,95.21,T
T1509,20150617,95.1,95.2,94.7,94.96,2832,21289.0,268833.81,94.92,95.015,T
T1512,20150617,95.55,95.685,95.3,95.425,44,1361.0,4199.16,95.44,95.52,T
T1603,20150617,95.8,95.975,95.55,95.975,3,53.0,287.325,95.975,95.525,T
T1509,20150618,95.0,95.41,94.915,95.25,2793,21246.0,266015.015,95.25,94.92,T
T1512,20150618,95.465,95.855,95.465,95.795,74,1372.0,7086.225,95.765,95.44,T
T1603,20150618,,,,95.975,0,53.0,0.0,96.305,95.975,T
T1509,20150619,95.25,95.37,94.82,95.02,2432,21107.0,231136.815,94.995,95.25,T
T1512,20150619,95.61,95.62,95.425,95.49,39,1373.0,3724.72,95.495,95.765,T
T1603,20150619,95.99,95.99,95.99,95.99,3,56.0,287.97,95.99,96.305,T
T1509,20150623,94.895,95.03,94.58,94.91,2443,21142.0,231610.435,94.96,94.995,T
T1512,20150623,95.33,95.55,95.17,95.46,113,1419.0,10774.99,95.475,95.495,T
T1603,20150623,95.8,95.8,95.8,95.8,5,61.0,479.0,95.8,95.99,T
T1509,20150624,94.9,94.98,94.705,94.885,1428,21010.0,135432.19,94.885,94.96,T
T1512,20150624,95.385,95.405,95.265,95.4,82,1438.0,7818.82,95.39,95.475,T
T1603,20150624,,,,95.8,0,61.0,0.0,95.725,95.8,T
T1509,20150625,94.78,95.305,94.7,94.8,3771,20402.0,358134.855,94.775,94.885,T
T1512,20150625,95.49,95.815,95.23,95.26,76,1467.0,7259.93,95.255,95.39,T
T1603,20150625,96.0,96.0,96.0,96.0,1,62.0,96.0,96.0,95.725,T
T1509,20150626,94.8,94.945,94.63,94.715,3073,19805.0,291207.795,94.72,94.775,T
T1512,20150626,95.15,95.335,95.15,95.205,54,1468.0,5143.185,95.22,95.255,T
T1603,20150626,,,,96.0,0,62.0,0.0,95.945,96.0,T
T1509,20150629,95.01,95.05,94.385,94.535,4982,18480.0,471618.45,94.47,94.72,T
T1512,20150629,95.5,95.505,94.9,95.055,97,1458.0,9227.85,94.955,95.22,T
T1603,20150629,95.35,95.35,95.35,95.35,1,62.0,95.35,95.35,95.945,T
T1509,20150630,94.6,94.955,94.54,94.755,2107,18209.0,199636.435,94.76,94.47,T
T1512,20150630,95.19,95.26,95.025,95.21,47,1461.0,4474.11,95.21,94.955,T
T1603,20150630,,,,95.35,0,62.0,0.0,95.64,95.35,T
T1509,20150701,94.82,94.865,94.595,94.645,1235,18103.0,116986.07,94.675,94.76,T
T1512,20150701,95.165,95.2,95.07,95.13,122,1546.0,11611.055,95.18,95.21,T
T1603,20150701,,,,95.35,0,62.0,0.0,95.555,95.64,T
T1509,20150701,94.82,94.865,94.595,94.645,1235,18103.0,116986.07,94.675,94.76,T
T1512,20150701,95.165,95.2,95.07,95.13,122,1546.0,11611.055,95.18,95.21,T
T1603,20150701,,,,95.35,0,62.0,0.0,95.555,95.64,T
T1509,20150702,94.65,94.695,94.365,94.61,1291,17969.0,122082.91,94.64,94.675,T
T1512,20150702,95.0,95.115,94.815,95.035,69,1552.0,6555.075,95.03,95.18,T
T1603,20150702,,,,95.35,0,62.0,0.0,95.52,95.555,T
T1509,20150703,94.7,95.27,94.65,95.22,3612,18851.0,343304.285,95.195,94.64,T
T1512,20150703,95.2,95.71,95.185,95.6,211,1645.0,20146.455,95.6,95.03,T
T1603,20150703,,,,95.35,0,62.0,0.0,96.075,95.52,T
T1509,20150706,95.5,96.05,95.31,95.92,3811,19690.0,364476.695,95.915,95.195,T
T1512,20150706,95.61,96.53,95.61,96.285,172,1680.0,16525.42,96.295,95.6,T
T1603,20150706,96.12,97.295,96.12,96.365,6,64.0,580.605,96.795,96.075,T
T1509,20150707,96.18,96.38,95.975,96.28,3236,19465.0,311392.54,96.235,95.915,T
T1512,20150707,96.635,96.87,96.365,96.845,277,1768.0,26783.255,96.715,96.295,T
T1603,20150707,,,,96.365,0,64.0,0.0,97.115,96.795,T
T1509,20150708,96.48,96.98,95.34,95.8,8839,18139.0,849054.33,95.635,96.235,T
T1512,20150708,96.9,97.805,95.925,96.4,351,1939.0,33888.87,96.27,96.715,T
T1603,20150708,97.2,97.2,96.7,96.7,7,64.0,679.225,96.805,97.115,T
T1509,20150709,95.86,96.58,95.72,96.15,4365,17427.0,420039.65,96.21,95.635,T
T1512,20150709,96.735,97.12,96.54,96.7,268,2072.0,25940.31,96.8,96.27,T
T1603,20150709,,,,96.7,0,64.0,0.0,97.38,96.805,T
T1509,20150710,96.0,96.01,95.6,95.95,2668,17428.0,255748.405,95.92,96.21,T
T1512,20150710,96.475,96.6,96.2,96.485,295,2099.0,28436.235,96.41,96.8,T
T1603,20150710,96.9,97.075,96.84,96.9,125,166.0,12112.44,96.87,97.38,T
T1509,20150713,95.85,96.125,95.67,95.72,2941,17861.0,281860.64,95.76,95.92,T
