symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TS1906,20180918,,,,98.895,0,8.0,0.0,99.045,99.04,TS
TS1812,20180919,99.35,99.375,99.31,99.31,262,3112.0,52047.43,99.315,99.345,TS
TS1903,20180919,,,,99.25,0,27.0,0.0,99.27,99.3,TS
TS1906,20180919,,,,98.895,0,8.0,0.0,99.015,99.045,TS
TS1812,20180920,99.27,99.3,99.25,99.275,163,3101.0,32366.98,99.28,99.315,TS
TS1903,20180920,,,,99.25,0,27.0,0.0,99.235,99.27,TS
TS1906,20180920,,,,98.895,0,8.0,0.0,98.98,99.015,TS
TS1812,20180921,99.27,99.32,99.27,99.32,140,3038.0,27801.2,99.3,99.28,TS
TS1903,20180921,,,,99.25,0,27.0,0.0,99.255,99.235,TS
TS1906,20180921,,,,98.895,0,8.0,0.0,99.0,98.98,TS
TS1812,20180925,99.305,99.33,99.28,99.295,136,3066.0,27009.03,99.29,99.3,TS
TS1903,20180925,,,,99.25,0,27.0,0.0,99.245,99.255,TS
TS1906,20180925,,,,98.895,0,8.0,0.0,98.99,99.0,TS
TS1812,20180926,99.28,99.345,99.275,99.34,168,3058.0,33366.68,99.335,99.29,TS
TS1903,20180926,,,,99.25,0,27.0,0.0,99.29,99.245,TS
TS1906,20180926,,,,98.895,0,8.0,0.0,99.035,98.99,TS
TS1812,20180927,99.38,99.4,99.345,99.395,205,3045.0,40741.68,99.385,99.335,TS
TS1903,20180927,99.32,99.375,99.315,99.315,12,36.0,2384.26,99.355,99.29,TS
TS1906,20180927,,,,98.895,0,8.0,0.0,99.085,99.035,TS
TS1812,20180928,99.45,99.45,99.36,99.39,191,2998.0,37969.07,99.395,99.385,TS
TS1903,20180928,99.4,99.4,99.37,99.37,10,44.0,1987.94,99.385,99.355,TS
TS1906,20180928,,,,98.895,0,8.0,0.0,99.095,99.085,TS
TS1812,20181008,99.38,99.405,99.32,99.385,162,2990.0,32196.7,99.395,99.395,TS
TS1903,20181008,,,,99.37,0,44.0,0.0,99.385,99.385,TS
TS1906,20181008,,,,98.895,0,8.0,0.0,99.095,99.095,TS
TS1812,20181009,99.385,99.505,99.385,99.45,271,3043.0,53898.55,99.455,99.395,TS
TS1903,20181009,,,,99.37,0,44.0,0.0,99.445,99.385,TS
TS1906,20181009,,,,98.895,0,8.0,0.0,99.155,99.095,TS
TS1812,20181010,99.48,99.48,99.43,99.45,195,3053.0,38784.98,99.44,99.455,TS
TS1903,20181010,,,,99.37,0,44.0,0.0,99.43,99.445,TS
TS1906,20181010,,,,98.895,0,8.0,0.0,99.14,99.155,TS
TS1812,20181011,99.54,99.55,99.485,99.515,208,3064.0,41398.87,99.51,99.44,TS
TS1903,20181011,,,,99.37,0,44.0,0.0,99.5,99.43,TS
TS1906,20181011,,,,98.895,0,8.0,0.0,99.21,99.14,TS
TS1812,20181012,99.505,99.53,99.495,99.525,119,3065.0,23684.12,99.515,99.51,TS
TS1903,20181012,,,,99.37,0,44.0,0.0,99.505,99.5,TS
TS1906,20181012,,,,98.895,0,8.0,0.0,99.215,99.21,TS
TS1812,20181015,99.52,99.525,99.505,99.51,63,3080.0,12538.9,99.51,99.515,TS
TS1903,20181015,,,,99.37,0,44.0,0.0,99.5,99.505,TS
TS1906,20181015,,,,98.895,0,8.0,0.0,99.21,99.215,TS
TS1812,20181016,99.495,99.535,99.475,99.535,280,3146.0,55720.15,99.52,99.51,TS
TS1903,20181016,,,,99.37,0,44.0,0.0,99.51,99.5,TS
TS1906,20181016,,,,98.895,0,8.0,0.0,99.22,99.21,TS
TS1812,20181017,99.52,99.545,99.51,99.52,90,3125.0,17914.58,99.515,99.52,TS
TS1903,20181017,,,,99.37,0,44.0,0.0,99.505,99.51,TS
TS1906,20181017,,,,98.895,0,8.0,0.0,99.215,99.22,TS
TS1812,20181018,99.535,99.56,99.525,99.535,97,3143.0,19311.51,99.545,99.515,TS
